"Init.X1" "Init.X2" "Est.X1" "Est.X2" "sseD"
89.5930519788526 90.2327433978207 90.7484644332655 92.8896424474109 44565.8923298142
89.1092935595661 92.2142442157492 90.7470387749676 92.8908608075724 44565.8923291938
89.0082491580397 92.8450983944349 90.7473210387112 92.8902257672397 44565.8923288705
91.5148018300533 88.0536747742444 90.7474572108142 92.8901937204731 44565.8923288809
89.2012867154554 92.1113115740009 90.7469924040337 92.8908314146086 44565.8923291852
91.6376097858883 93.6258518374525 90.747443631079 92.8900162229848 44565.8923288932
93.9334557871334 90.3864727197215 90.7465375425108 92.8891663179199 44565.8923299596
90.7977714482695 89.2469399021938 90.7473801615534 92.890176803714 44565.8923288712
89.3296083835885 88.1454034587368 90.7473214116312 92.8901785770045 44565.892328869
91.044869218953 89.8406110364012 90.7473199227216 92.8901784440353 44565.8923288691
89.6634987653233 88.0031098774634 90.7473214144812 92.8901785414449 44565.8923288691
88.4161654948257 92.9066511923447 90.7473210063849 92.8902134700691 44565.8923288698
92.2619346799329 89.4768238100223 90.7473214506396 92.8901785752993 44565.892328869
89.524202386383 91.8269637902267 90.7471791407007 92.8903426020303 44565.8923288965
91.6126842647791 89.1702635637484 90.7477167289184 92.8902558961517 44565.892328973
92.098660340067 89.4647045028396 90.7473214156503 92.8901785542156 44565.8923288691
88.9303049994633 93.8102728528902 90.7477539408083 92.8910074767633 44565.8923294453
92.9373778887093 92.2611974524334 90.7472037812972 92.8897626786851 44565.8923289898
88.702783498913 90.9041783986613 90.7472650619631 92.8902364602082 44565.8923288728
93.2651283321902 92.6111992518418 90.7473206737917 92.8901700015889 44565.8923288691
92.7166895628907 89.5146735734306 90.7473214633949 92.890178569461 44565.892328869
89.8256610124372 90.8484334507957 90.7481983278841 92.8897629983055 44565.8923294272
91.4596219579689 89.3384371344 90.7475637091813 92.8902182794688 44565.8923289075
89.755443747621 89.3493468658999 90.7473214276231 92.8901785448081 44565.8923288691
90.4967105574906 92.1685819220729 90.7476203015713 92.8899908373311 44565.8923289423
88.0995540320873 89.7368697798811 90.7478393996328 92.8897352763502 44565.8923291404
93.8305013845675 88.5025450512767 90.7473214197841 92.8901785785142 44565.8923288691
88.1714518321678 88.5302161932923 90.747321398599 92.8901785794163 44565.892328869
88.5980862388387 89.4454126865603 90.747321436665 92.8901785800137 44565.8923288689
88.5926969111897 90.9293907121755 90.747141707921 92.8903744193835 44565.8923289102
