"Init.X1" "Init.X2" "Est.X1" "Est.X2" "sseT"
92.5930519788526 93.2327433978207 92.1916686218957 95.2916622131707 94932.1703472222
92.1092935595661 95.2142442157492 92.1910974869623 95.2923212050981 94932.1703477856
92.0082491580397 95.8450983944349 92.1916665575882 95.291666977293 94932.1703472222
94.5148018300533 91.0536747742444 92.1916667324701 95.2916665336556 94932.1703472222
92.2012867154554 95.1113115740009 92.1916666732714 95.2916666409871 94932.1703472222
94.6376097858883 96.6258518374525 92.1916674073698 95.2916659264901 94932.1703472222
96.9334557871334 93.3864727197215 92.1916666657924 95.2916666793037 94932.1703472222
93.7977714482695 92.2469399021938 92.1916666776433 95.2916666707035 94932.1703472221
92.3296083835885 91.1454034587368 92.1916674524168 95.2916638524709 94932.1703472222
94.044869218953 92.8406110364012 92.1916666680117 95.2916666603634 94932.1703472222
92.6634987653233 91.0031098774634 92.1916666746129 95.2916666590545 94932.1703472222
91.4161654948257 95.9066511923447 92.1914872592393 95.2916850130083 94932.1703472433
95.2619346799329 92.4768238100223 92.1962504678945 95.2965121828471 94932.1703694759
92.524202386383 94.8269637902267 92.1891962532012 95.2893918767401 94932.1703528658
94.6126842647791 92.1702635637484 92.1916666746046 95.2916666587548 94932.1703472222
95.098660340067 92.4647045028396 92.1931349565727 95.2931615061167 94932.1703494175
91.9303049994633 96.8102728528902 92.1916636373327 95.2916736778398 94932.1703472222
95.9373778887093 95.2611974524334 92.1916690636349 95.2916660638204 94932.1703472222
91.702783498913 93.9041783986613 92.1902118081927 95.2928055103713 94932.1703497699
96.2651283321902 95.6111992518418 92.1916675117901 95.2916665595365 94932.1703472221
95.7166895628907 92.5146735734306 92.1916666835617 95.2916666897241 94932.1703472222
92.8256610124372 93.8484334507957 92.1916680688106 95.2916647176405 94932.1703472222
94.4596219579689 92.3384371344 92.1916666885505 95.2916666930704 94932.1703472222
92.755443747621 92.3493468658999 92.1916680734577 95.2916634492649 94932.1703472222
93.4967105574906 95.1685819220729 92.1916677179772 95.291666357317 94932.1703472221
91.0995540320873 92.7368697798811 92.1916678626661 95.2916705604889 94932.1703472223
96.8305013845675 91.5025450512767 92.1916666712557 95.2916666895482 94932.1703472222
91.1714518321678 91.5302161932923 92.1928331089654 95.2914958112784 94932.1703481406
91.5980862388387 92.4454126865603 92.1916666739188 95.2916665564404 94932.1703472222
91.5926969111897 93.9293907121755 92.1916718773538 95.2916814121442 94932.1703472223
