"Init.X1" "Init.X2" "Est.X1" "Est.X2" "sseB"
87.655086631421 88.7212389963679 89.3099999799143 87.5099999836672 77325.4603333333
86.8488225992769 92.023740359582 89.3099995579363 87.510000494004 77325.4603333333
86.6804152633995 93.0751639907248 89.3100000009993 87.5100000150939 77325.4603333333
90.8580030500889 85.089457957074 89.3099999931514 87.509999995883 77325.4603333333
87.0021445257589 91.8521859566681 89.3099983668949 87.5100018251524 77325.4603333333
91.0626829764806 94.3764197290875 89.310000183528 87.5100008969655 77325.4603333334
94.8890929785557 88.9774545328692 89.3100006334762 87.510000164033 77325.4603333333
89.6629524137825 87.0782331703231 89.305051220768 87.5051431532046 77325.4603533682
87.2160139726475 85.2423390978947 89.3100003490352 87.5100003667677 77325.4603333333
90.0747820315883 88.0676850606687 89.3099999958162 87.510000005901 77325.4603333333
87.7724979422055 85.0051831291057 89.3100018531781 87.5100021196837 77325.4603333333
85.6936091580428 93.1777519872412 89.3099996243507 87.5100002791942 77325.4603333333
92.1032244665548 87.4613730167039 89.3100043499447 87.5099999281718 77325.4603333333
87.5403373106383 91.3782729837112 89.3099999642421 87.5100000190888 77325.4603333333
91.0211404412985 86.9504392729141 89.3100006362105 87.5099997967883 77325.4603333333
91.8311005667783 87.4411741713993 89.3100048879751 87.5099999498258 77325.4603333334
86.5505083324388 94.6837880881503 89.309999995592 87.5100000104928 77325.4603333333
93.2289631478488 92.1019957540557 89.3099999634319 87.5099999947504 77325.4603333332
86.1713058315217 89.8402973311022 89.3100000226207 87.5100000804993 77325.4603333333
93.7752138869837 92.6853320864029 89.3099999975498 87.509999978163 77325.4603333333
92.8611492714845 87.5244559557177 89.3100035694297 87.5099998806205 77325.4603333334
88.042768354062 89.7473890846595 89.3100000035174 87.5099999763479 77325.4603333333
90.7660365966149 87.2307285573334 89.3100077436671 87.5100002743128 77325.4603333334
87.9257395793684 87.2489114431664 89.3099841601349 87.5100018672067 77325.4603333334
89.1611842624843 91.9476365367882 89.3099997465187 87.5100024244197 77325.4603333333
85.1659233868122 87.8947829664685 89.3099984410012 87.5100002566264 77325.4603333333
94.7175023076124 85.8375750854611 89.3100000686478 87.5099999581046 77325.4603333334
85.285753053613 85.8836936554871 89.3099996535536 87.5099998462248 77325.4603333333
85.9968103980646 87.4090211442672 89.3099958534177 87.5099999819453 77325.4603333334
85.9878281853162 89.8823178536259 89.3099999934292 87.5099999875593 77325.4603333333
